Timestamp,L1-dcache-load-misses,instructions
     0.010106813,242948,20727341
     0.020313255,167181,15393835
     0.030449501,185812,17462737
     0.040601782,1347,32765
     0.050815710,0,0
     0.060973854,0,0
     0.071130786,0,0
     0.081285687,0,0
     0.093400202,0,0
     0.103551691,0,0
     0.113691014,0,0
     0.123955929,0,0
     0.134195613,0,0
     0.144300607,56650,2029297
     0.154422983,0,0
     0.164716736,0,0
     0.174835725,0,0
     0.184966916,0,0
     0.195100070,0,0
     0.205227612,0,0
     0.215332015,0,0
     0.225445265,0,0
     0.235573161,0,0
     0.245693733,0,0
     0.255819768,0,0
     0.265940958,0,0
     0.276059322,0,0
     0.286187247,0,0
     0.296309092,0,0
     0.306440297,0,0
     0.316565731,0,0
     0.326693920,0,0
     0.336816614,0,0
     0.346987518,0,0
     0.357163236,0,0
     0.367342316,0,0
     0.377606090,0,0
     0.387818107,0,0
     0.397947228,0,0
     0.408087791,0,0
     0.418223314,0,0
     0.428338677,0,0
     0.438633832,0,0
     0.448881683,0,0
     0.459125650,0,0
     0.469276911,0,0
     0.479385434,0,0
     0.489509895,0,0
     0.499595002,0,0
     0.509678627,0,0
     0.519810525,0,0
     0.529927253,0,0
     0.540051215,0,0
     0.550187860,0,0
     0.560320143,0,0
     0.570455051,3747,85447
     0.580606214,0,0
     0.590741330,0,0
     0.600879138,0,0
     0.611020478,0,0
     0.621167266,0,0
     0.631306995,0,0
     0.641460221,0,0
     0.651598978,0,0
     0.661738616,0,0
     0.671858945,0,0
     0.682005953,0,0
     0.692146865,0,0
     0.702282126,0,0
     0.712418737,0,0
     0.722539213,6223,116869
     0.732682686,3246,57626
     0.742812207,0,0
     0.752951914,0,0
     0.763102810,0,0
     0.773244828,0,0
     0.783381414,0,0
     0.793535002,0,0
     0.803690906,0,0
     0.813838236,0,0
     0.823954284,0,0
     0.834104253,0,0
     0.844247474,0,0
     0.854389557,0,0
     0.864526275,0,0
     0.874672579,0,0
     0.884810575,0,0
     0.894954179,0,0
     0.905088477,0,0
     0.915231558,0,0
     0.925364595,0,0
     0.935515107,0,0
     0.945679288,0,0
     0.955836074,0,0
     0.965980836,0,0
     0.976118690,0,0
     0.986261726,0,0
     0.996395878,0,0
     1.006531546,0,0
     1.016657813,0,0
     1.026792709,0,0
     1.036929227,0,0
     1.047060812,0,0
     1.057192740,0,0
     1.067328274,0,0
     1.077462199,0,0
     1.087596884,0,0
     1.097728730,0,0
     1.107857021,0,0
     1.117990786,0,0
     1.128126267,0,0
     1.138275210,0,0
     1.148409758,0,0
     1.158623093,0,0
     1.168848328,0,0
     1.178987071,0,0
     1.189130723,0,0
     1.199278144,0,0
     1.209420045,0,0
     1.219558859,0,0
     1.229697596,0,0
     1.239836379,0,0
     1.249987485,0,0
     1.260117748,0,0
     1.270259569,0,0
     1.280391643,0,0
     1.290517379,0,0
     1.300642379,0,0
     1.310784191,0,0
     1.320923196,0,0
     1.331066215,0,0
     1.341208468,0,0
     1.351342224,0,0
     1.361482560,0,0
     1.371632770,0,0
     1.381786114,0,0
     1.391924308,0,0
     1.402069672,0,0
     1.412213613,0,0
     1.422367630,0,0
     1.432507069,0,0
     1.442662437,0,0
     1.452804173,0,0
     1.462946237,0,0
     1.473089324,0,0
     1.483238545,0,0
     1.493379444,0,0
     1.503522179,0,0
     1.513659746,0,0
     1.523764568,0,0
     1.533901593,0,0
     1.544038694,0,0
     1.554191778,0,0
     1.564329287,0,0
     1.574465515,0,0
     1.584599623,0,0
     1.594737319,0,0
     1.604869357,0,0
     1.615009491,0,0
     1.625149924,0,0
     1.635285291,0,0
     1.645425121,0,0
     1.655560889,0,0
     1.665693778,0,0
     1.675819876,0,0
     1.685955815,0,0
     1.696088520,0,0
     1.706234319,0,0
     1.716367890,0,0
     1.726516625,0,0
     1.736655813,0,0
     1.746789120,0,0
     1.756913632,0,0
     1.767039070,0,0
     1.777158677,0,0
     1.787292442,0,0
     1.797435736,0,0
     1.807565870,0,0
     1.817686795,0,0
     1.827810713,0,0
     1.837935811,0,0
     1.848050223,0,0
     1.858172185,0,0
     1.868311648,0,0
     1.878423212,0,0
     1.888532928,0,0
     1.898649632,0,0
     1.908766466,0,0
     1.918885961,0,0
     1.929003946,0,0
     1.939125764,0,0
     1.949252284,0,0
     1.959376678,0,0
     1.969511499,0,0
     1.979633764,0,0
     1.989752528,0,0
     2.000159854,0,0
     2.010286397,0,0
     2.020405242,0,0
     2.030525855,0,0
     2.040646062,0,0
     2.050772438,0,0
     2.060890992,0,0
     2.071011990,0,0
     2.081135775,0,0
     2.091258080,0,0
     2.101379166,0,0
     2.111502464,0,0
     2.121622433,0,0
     2.131748381,0,0
     2.141872592,0,0
     2.151993472,0,0
     2.162113050,0,0
     2.172250196,0,0
     2.182367358,0,0
     2.192482704,0,0
     2.202599578,0,0
     2.212714009,0,0
     2.222828420,0,0
     2.232937651,0,0
     2.243052071,0,0
     2.253175909,0,0
     2.263291189,0,0
     2.273408727,0,0
     2.283523761,0,0
     2.293633429,0,0
     2.303748531,0,0
     2.313856741,0,0
     2.323961420,0,0
     2.334073102,0,0
     2.344180064,0,0
     2.354299467,0,0
     2.364406922,0,0
     2.374518002,0,0
     2.384628693,0,0
     2.394747551,0,0
     2.404870326,0,0
     2.414981884,0,0
     2.425096860,0,0
     2.435211289,0,0
     2.445329925,0,0
     2.455463612,0,0
     2.465600926,0,0
     2.475744696,0,0
     2.485863410,0,0
     2.495976254,0,0
     2.506093341,0,0
     2.516207081,0,0
     2.526327550,0,0
     2.536444241,0,0
     2.546568010,0,0
     2.556696458,0,0
     2.566814647,0,0
     2.576934567,0,0
     2.587053663,0,0
     2.597174972,0,0
     2.607295163,0,0
     2.617415754,0,0
     2.627538791,0,0
     2.637660440,0,0
     2.647761679,0,0
     2.657890109,0,0
     2.668001578,0,0
     2.678121515,0,0
     2.688236902,0,0
     2.698356831,0,0
     2.708477161,0,0
     2.718598092,0,0
     2.728718681,0,0
     2.738840537,0,0
     2.748958370,0,0
     2.759087546,0,0
     2.769207407,0,0
     2.779324593,0,0
     2.789468286,0,0
     2.799589859,0,0
     2.809715244,0,0
     2.819836000,0,0
     2.830027060,0,0
     2.840149123,0,0
     2.850281048,0,0
     2.860408749,0,0
     2.870698168,0,0
     2.880808382,0,0
     2.890920110,0,0
     2.901028723,0,0
     2.915766178,0,0
     2.925891818,0,0
     2.936006280,0,0
     2.946109180,0,0
     2.956208733,0,0
     2.966330316,0,0
     2.976446367,0,0
     2.986573871,0,0
     2.996697203,0,0
     3.006809610,0,0
     3.016905511,0,0
     3.027002966,0,0
     3.037104112,0,0
     3.047201156,0,0
     3.057301518,0,0
     3.067396948,0,0
     3.077495672,0,0
     3.087603016,0,0
     3.097721230,0,0
     3.107835594,0,0
     3.117943283,0,0
     3.128045731,0,0
     3.138155780,0,0
     3.148257391,0,0
     3.158368282,0,0
     3.168469557,0,0
